Age,Age Group,Attrition,Attrition Flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Income Group,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Tenure Group,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Mid-Career,Yes,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,Medium Income,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,Experienced,4,0,5
49,Senior,No,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,Medium Income,24907,1,Y,No,23,4,4,80,1,10,3,3,10,Veteran,7,1,7
37,Mid-Career,Yes,1,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,Low Income,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,New Employee,0,0,0
33,Mid-Career,No,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,Low Income,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,Veteran,7,3,0
27,Young,No,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,Low Income,16632,9,Y,No,12,3,4,80,1,6,3,3,2,New Employee,2,2,2
32,Mid-Career,No,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,Low Income,11864,0,Y,No,13,3,3,80,0,8,2,2,7,Experienced,7,3,6
59,Senior,No,0,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,Low Income,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,New Employee,0,0,0
30,Mid-Career,No,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,Low Income,13335,1,Y,No,22,4,2,80,1,1,2,3,1,New Employee,0,0,0
38,Mid-Career,No,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,Medium Income,8787,0,Y,No,21,4,2,80,0,10,2,3,9,Veteran,7,1,8
36,Mid-Career,No,0,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,Medium Income,16577,6,Y,No,13,3,2,80,2,17,3,2,7,Experienced,7,7,7
35,Mid-Career,No,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,Low Income,16479,0,Y,No,13,3,3,80,1,6,5,3,5,Experienced,4,0,3
29,Young,No,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,Low Income,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,Veteran,5,0,8
31,Mid-Career,No,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,Low Income,15170,1,Y,No,17,3,4,80,1,5,1,2,5,Experienced,2,4,3
34,Mid-Career,No,0,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,Low Income,8758,0,Y,No,11,3,3,80,1,3,2,3,2,New Employee,2,1,2
28,Young,Yes,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,Low Income,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,Experienced,2,0,3
29,Young,No,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,Medium Income,10195,1,Y,No,11,3,3,80,1,10,1,3,10,Veteran,9,8,8
32,Mid-Career,No,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,Low Income,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,Experienced,2,0,5
22,Young,No,0,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,Low Income,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,New Employee,0,0,0
53,Senior,No,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,High Income,22021,2,Y,No,16,3,3,80,0,31,3,3,25,Veteran,8,3,7
38,Mid-Career,No,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,Low Income,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,Experienced,2,1,2
24,Young,No,0,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,Low Income,8232,0,Y,No,18,3,4,80,1,5,5,2,4,Experienced,2,1,3
36,Mid-Career,Yes,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,Low Income,6986,7,Y,No,23,4,2,80,0,10,4,3,5,Experienced,3,0,3
